playground_size,mpi_task,threads,runtime,mean_time
1000,3,9,0.113097,0.002262
1000,3,9,0.112030,0.002241
1000,3,10,0.111925,0.002238
1000,3,10,0.119153,0.002383
1000,3,10,0.113405,0.002268
1000,3,10,0.110619,0.002212
1000,3,10,0.111316,0.002226
1000,3,11,0.108600,0.002172
1000,3,11,0.115360,0.002307
1000,3,11,0.108743,0.002175
1000,3,11,0.111903,0.002238
1000,3,11,0.116945,0.002339
1000,3,12,0.100258,0.002005
1000,3,12,0.100147,0.002003
1000,3,12,0.114066,0.002281
1000,3,12,0.107734,0.002155
1000,3,12,0.110241,0.002205
1000,4,1,0.377152,0.007543
1000,4,1,0.383744,0.007675
1000,4,1,0.378820,0.007576
1000,4,1,0.381562,0.007631
1000,4,1,0.376884,0.007538
1000,4,2,0.235700,0.004714
1000,4,2,0.239314,0.004786
1000,4,2,0.237083,0.004742
1000,4,2,0.238814,0.004776
1000,4,2,0.236806,0.004736
1000,4,3,0.186916,0.003738
1000,4,3,0.182224,0.003644
1000,4,3,0.185276,0.003706
1000,4,3,0.178336,0.003567
1000,4,3,0.178875,0.003577
1000,4,4,0.158905,0.003178
1000,4,4,0.148364,0.002967
1000,4,4,0.152286,0.003046
1000,4,4,0.158975,0.003179
1000,4,4,0.145957,0.002919
1000,4,5,0.138646,0.002773
1000,4,5,0.130466,0.002609
1000,4,5,0.130248,0.002605
1000,4,5,0.135905,0.002718
1000,4,5,0.139856,0.002797
1000,4,6,0.115613,0.002312
1000,4,6,0.131360,0.002627
1000,4,6,0.120670,0.002413
1000,4,6,0.115896,0.002318
1000,4,6,0.129528,0.002591
1000,4,7,0.116555,0.002331
1000,4,7,0.121096,0.002422
1000,4,7,0.115865,0.002317
1000,4,7,0.105753,0.002115
1000,4,7,0.118971,0.002379
1000,4,8,0.114570,0.002291
1000,4,8,0.108747,0.002175
1000,4,8,0.111410,0.002228
1000,4,8,0.113570,0.002271
1000,4,8,0.112951,0.002259
1000,4,9,0.104240,0.002085
1000,4,9,0.106206,0.002124
1000,4,9,0.110923,0.002218
1000,4,9,0.102509,0.002050
1000,4,9,0.097332,0.001947
1000,4,10,0.098496,0.001970
1000,4,10,0.096615,0.001932
1000,4,10,0.102456,0.002049
1000,4,10,0.094585,0.001892
1000,4,10,0.108005,0.002160
1000,4,11,0.090308,0.001806
1000,4,11,0.098311,0.001966
1000,4,11,0.101756,0.002035
1000,4,11,0.094973,0.001899
1000,4,11,0.102759,0.002055
1000,4,12,0.095334,0.001907
1000,4,12,0.092480,0.001850
1000,4,12,0.094643,0.001893
1000,4,12,0.097359,0.001947
1000,4,12,0.089939,0.001799
5000,1,1,56.760299,1.135206
5000,1,1,56.832540,1.136651
5000,1,1,56.777316,1.135546
5000,1,1,56.782752,1.135655
5000,1,1,56.778257,1.135565
5000,1,2,28.449699,0.568994
5000,1,2,28.444037,0.568881
5000,1,2,28.447404,0.568948
5000,1,2,28.449503,0.568990
5000,1,2,28.452829,0.569057
5000,1,3,19.002908,0.380058
5000,1,3,19.003394,0.380068
5000,1,3,19.002947,0.380059
5000,1,3,19.002075,0.380041
5000,1,3,19.003393,0.380068
5000,1,4,14.970612,0.299412
5000,1,4,14.274682,0.285494
5000,1,4,14.281770,0.285635
5000,1,4,14.279478,0.285590
5000,1,4,14.279774,0.285595
5000,1,5,11.431933,0.228639
5000,1,5,11.429755,0.228595
5000,1,5,11.432423,0.228648
5000,1,5,11.441337,0.228827
5000,1,5,11.432075,0.228642
5000,1,6,9.545490,0.190910
5000,1,6,9.548189,0.190964
5000,1,6,9.549500,0.190990
5000,1,6,9.556587,0.191132
5000,1,6,9.546267,0.190925
5000,1,7,8.192501,0.163850
5000,1,7,8.203155,0.164063
5000,1,7,8.190936,0.163819
5000,1,7,8.201451,0.164029
5000,1,7,8.195272,0.163905
5000,1,8,7.186544,0.143731
5000,1,8,7.186947,0.143739
5000,1,8,7.182853,0.143657
5000,1,8,7.178666,0.143573
5000,1,8,7.180551,0.143611
5000,1,9,6.395781,0.127916
5000,1,9,6.388395,0.127768
5000,1,9,6.399521,0.127990
5000,1,9,6.389773,0.127795
5000,1,9,6.394482,0.127890
5000,1,10,5.765663,0.115313
5000,1,10,5.757456,0.115149
5000,1,10,5.757792,0.115156
5000,1,10,5.760927,0.115219
5000,1,10,5.758882,0.115178
5000,1,11,5.243975,0.104879
5000,1,11,5.243007,0.104860
5000,1,11,5.246364,0.104927
5000,1,11,5.253074,0.105061
5000,1,11,5.254873,0.105097
5000,1,12,4.814180,0.096284
5000,1,12,4.816430,0.096329
5000,1,12,5.747282,0.114946
5000,1,12,4.817167,0.096343
5000,1,12,4.835657,0.096713
5000,2,1,17.838588,0.356772
5000,2,1,17.833334,0.356667
5000,2,1,17.839752,0.356795
5000,2,1,17.844428,0.356889
5000,2,1,17.837337,0.356747
5000,2,2,9.008830,0.180177
5000,2,2,9.004245,0.180085
5000,2,2,9.009578,0.180192
5000,2,2,9.012060,0.180241
5000,2,2,9.005948,0.180119
5000,2,3,6.046128,0.120923
5000,2,3,6.048526,0.120971
5000,2,3,6.047380,0.120948
5000,2,3,6.051314,0.121026
5000,2,3,6.051479,0.121030
5000,2,4,4.568045,0.091361
5000,2,4,4.564633,0.091293
5000,2,4,4.569726,0.091395
5000,2,4,4.563641,0.091273
5000,2,4,4.566920,0.091338
5000,2,5,3.677913,0.073558
5000,2,5,3.678628,0.073573
5000,2,5,3.675490,0.073510
5000,2,5,3.679968,0.073599
5000,2,5,3.679626,0.073593
5000,2,6,3.090153,0.061803
5000,2,6,3.088346,0.061767
5000,2,6,3.083339,0.061667
5000,2,6,3.084309,0.061686
5000,2,6,3.090194,0.061804
5000,2,7,2.658678,0.053174
5000,2,7,2.672244,0.053445
5000,2,7,2.657948,0.053159
5000,2,7,2.664594,0.053292
5000,2,7,2.671830,0.053437
5000,2,8,2.349253,0.046985
5000,2,8,2.347510,0.046950
5000,2,8,2.348576,0.046972
5000,2,8,2.344566,0.046891
5000,2,8,2.341439,0.046829
5000,2,9,2.101330,0.042027
5000,2,9,2.101965,0.042039
5000,2,9,2.100100,0.042002
5000,2,9,2.101742,0.042035
5000,2,9,2.096060,0.041921
5000,2,10,1.894254,0.037885
5000,2,10,1.902938,0.038059
5000,2,10,1.905091,0.038102
5000,2,10,1.905353,0.038107
5000,2,10,1.906650,0.038133
5000,2,11,1.743619,0.034872
5000,2,11,1.746332,0.034927
5000,2,11,1.744851,0.034897
5000,2,11,1.745188,0.034904
5000,2,11,1.744900,0.034898
5000,2,12,1.603875,0.032077
5000,2,12,1.604085,0.032082
5000,2,12,1.602544,0.032051
5000,2,12,1.603257,0.032065
5000,2,12,1.602437,0.032049
5000,3,1,11.919635,0.238393
5000,3,1,11.924582,0.238492
5000,3,1,11.920380,0.238408
5000,3,1,11.914027,0.238281
5000,3,1,11.920952,0.238419
5000,3,2,6.048559,0.120971
5000,3,2,6.055985,0.121120
5000,3,2,6.050849,0.121017
5000,3,2,6.053712,0.121074
5000,3,2,6.049425,0.120988
5000,3,3,4.081003,0.081620
5000,3,3,4.066865,0.081337
5000,3,3,4.083194,0.081664
5000,3,3,4.077481,0.081550
5000,3,3,4.089070,0.081781
5000,3,4,3.093901,0.061878
5000,3,4,3.089187,0.061784
5000,3,4,3.089461,0.061789
5000,3,4,3.086639,0.061733
5000,3,4,3.097289,0.061946
5000,3,5,2.504665,0.050093
5000,3,5,2.494691,0.049894
