playground_size,mpi_task,runtime,mean_time
10000,1,19.226255,0.384525
10000,1,19.129875,0.382598
10000,1,19.163928,0.383279
10000,1,19.106636,0.382133
10000,1,19.133755,0.382675
14142,2,12.614171,0.252283
14142,2,12.644069,0.252881
14142,2,12.537452,0.250749
14142,2,12.583535,0.251671
14142,2,12.553612,0.251072
17320,3,12.881863,0.257637
17320,3,12.754417,0.255088
17320,3,12.818535,0.256371
17320,3,12.947302,0.258946
17320,3,12.733753,0.254675
20000,4,13.269499,0.265390
20000,4,13.214477,0.264290
20000,4,13.151695,0.263034
20000,4,13.369916,0.267398
20000,4,13.006491,0.260130
22360,5,13.685804,0.273716
22360,5,13.304340,0.266087
22360,5,13.296624,0.265932
22360,5,13.481630,0.269633
22360,5,13.289281,0.265786
24494,6,14.104865,0.282097
24494,6,13.877758,0.277555
24494,6,13.583573,0.271671
24494,6,14.094774,0.281895
24494,6,13.466128,0.269323
26458,7,14.087038,0.281741
26458,7,13.700893,0.274018
26458,7,14.213700,0.284274
26458,7,13.832498,0.276650
26458,7,13.938537,0.278771
28284,8,14.060125,0.281202
28284,8,14.149225,0.282984
28284,8,14.235968,0.284719
28284,8,13.939637,0.278793
28284,8,14.150492,0.283010
